IdZdarzenia;Data;IdOsoby;IdWykroczenia
286;2023-01-22;254;5
287;2023-01-22;520;3
288;2023-01-22;658;1
289;2023-01-22;401;3
290;2023-01-22;890;5
291;2023-01-22;815;3
292;2023-01-22;583;3
293;2023-01-22;354;3
294;2023-01-22;438;6
295;2023-01-22;475;3
296;2023-01-22;365;1
297;2023-01-22;421;5
298;2023-01-22;277;1
299;2023-01-22;266;4
300;2023-01-22;270;3
301;2023-01-22;181;6
302;2023-01-22;569;6
303;2023-01-22;394;6
304;2023-01-22;517;4
305;2023-01-23;478;5
306;2023-01-23;136;6
307;2023-01-23;946;3
308;2023-01-23;44;4
309;2023-01-23;125;3
310;2023-01-23;140;3
311;2023-01-23;263;1
312;2023-01-23;595;3
313;2023-01-23;578;2
314;2023-01-23;971;1
315;2023-01-23;131;2
316;2023-01-23;117;4
317;2023-01-24;314;4
318;2023-01-24;69;1
319;2023-01-24;56;3
320;2023-01-24;751;4
321;2023-01-24;373;6
322;2023-01-24;1;3
323;2023-01-24;681;5
324;2023-01-24;42;6
325;2023-01-24;428;5
326;2023-01-24;844;4
327;2023-01-25;68;2
328;2023-01-25;995;2
329;2023-01-25;665;5
330;2023-01-25;324;4
331;2023-01-25;19;2
332;2023-01-25;713;6
333;2023-01-25;683;4
334;2023-01-25;725;5
335;2023-01-25;101;6
336;2023-01-25;150;6
337;2023-01-25;606;1
338;2023-01-25;347;4
339;2023-01-25;983;3
340;2023-01-25;996;1
341;2023-01-25;805;4
342;2023-01-25;718;4
343;2023-01-26;783;4
344;2023-01-26;288;2
345;2023-01-26;826;3
346;2023-01-26;380;1
347;2023-01-26;954;5
348;2023-01-26;453;3
349;2023-01-26;10;5
350;2023-01-26;840;2
351;2023-01-26;786;4
352;2023-01-26;324;1
353;2023-01-26;554;1
354;2023-01-26;285;6
355;2023-01-26;977;3
356;2023-01-27;957;3
357;2023-01-27;724;5
358;2023-01-27;31;4
359;2023-01-27;334;6
360;2023-01-27;947;5
361;2023-01-27;441;1
362;2023-01-27;85;3
363;2023-01-27;130;2
364;2023-01-27;717;4
365;2023-01-27;211;5
366;2023-01-27;121;4
367;2023-01-27;932;6
368;2023-01-27;363;1
369;2023-01-27;683;3
370;2023-01-27;813;3
371;2023-01-28;986;3
372;2023-01-28;358;4
373;2023-01-28;735;6
374;2023-01-28;972;6
375;2023-01-28;5;2
376;2023-01-28;859;5
377;2023-01-28;58;6
378;2023-01-28;727;4
379;2023-01-28;84;2
380;2023-01-28;306;5
381;2023-01-28;376;6
382;2023-01-28;80;4
383;2023-01-28;422;4
384;2023-01-29;595;6
385;2023-01-29;618;2
386;2023-01-29;415;5
387;2023-01-29;889;3
388;2023-01-29;979;5
389;2023-01-29;921;5
390;2023-01-29;610;2
391;2023-01-29;571;1
392;2023-01-29;943;5
393;2023-01-29;534;6
394;2023-01-29;55;4
395;2023-01-29;72;5
396;2023-01-29;834;4
397;2023-01-29;437;6
398;2023-01-30;998;5
399;2023-01-30;729;1
400;2023-01-30;361;6
401;2023-01-30;747;4
402;2023-01-30;557;3
403;2023-01-30;810;5
404;2023-01-30;439;1
405;2023-01-30;218;1
406;2023-01-30;263;1
407;2023-01-30;523;2
408;2023-01-30;348;3
409;2023-01-30;68;4
410;2023-01-30;744;4
411;2023-01-30;206;3
412;2023-01-30;819;5
413;2023-01-31;372;5
414;2023-01-31;926;5
415;2023-01-31;672;2
416;2023-01-31;799;3
417;2023-01-31;269;5
418;2023-01-31;109;3
419;2023-01-31;473;2
420;2023-01-31;766;1
421;2023-01-31;277;6
422;2023-01-31;418;2
423;2023-02-01;455;5
424;2023-02-01;51;3
425;2023-02-01;915;2
426;2023-02-01;163;6
427;2023-02-01;681;6
428;2023-02-01;441;1
429;2023-02-01;588;2
430;2023-02-01;292;5
431;2023-02-01;134;5
432;2023-02-01;59;3
433;2023-02-01;269;4
434;2023-02-01;295;2
435;2023-02-01;888;4
436;2023-02-01;739;1
437;2023-02-01;720;5
438;2023-02-01;108;5
439;2023-02-01;342;3
440;2023-02-01;557;2
441;2023-02-01;632;1
442;2023-02-01;354;4
443;2023-02-01;446;3
444;2023-02-02;506;2
445;2023-02-02;794;5
446;2023-02-02;321;3
447;2023-02-02;642;3
448;2023-02-02;961;5
449;2023-02-02;392;6
450;2023-02-02;547;2
451;2023-02-02;259;6
452;2023-02-02;811;6
453;2023-02-02;308;2
454;2023-02-02;93;4
455;2023-02-02;549;1
456;2023-02-02;771;3
457;2023-02-03;429;1
458;2023-02-03;566;4
459;2023-02-03;64;3
460;2023-02-03;712;6
461;2023-02-03;500;4
462;2023-02-03;352;5
463;2023-02-03;291;1
464;2023-02-03;282;1
465;2023-02-03;247;5
466;2023-02-03;127;3
467;2023-02-03;880;5
468;2023-02-03;108;1
469;2023-02-03;266;6
470;2023-02-03;157;2
471;2023-02-03;990;2
472;2023-02-03;852;2
473;2023-02-03;89;2
474;2023-02-03;364;4
475;2023-02-03;675;4
476;2023-02-03;545;1
477;2023-02-03;38;1
478;2023-02-04;485;4
479;2023-02-04;192;4
480;2023-02-04;796;1
481;2023-02-04;970;6
482;2023-02-04;661;6
483;2023-02-04;844;4
484;2023-02-04;878;2
485;2023-02-04;963;6
486;2023-02-04;214;3
487;2023-02-04;190;6
488;2023-02-04;248;6
489;2023-02-04;35;3
490;2023-02-04;862;2
491;2023-02-04;54;3
492;2023-02-04;361;1
493;2023-02-04;154;6
494;2023-02-05;463;3
495;2023-02-05;803;3
496;2023-02-05;202;4
497;2023-02-05;130;1
498;2023-02-05;298;1
499;2023-02-05;618;4
500;2023-02-05;533;2
501;2023-02-05;700;5
502;2023-02-05;741;4
503;2023-02-05;13;5
504;2023-02-05;693;2
505;2023-02-05;919;2
506;2023-02-05;906;1
507;2023-02-05;894;3
508;2023-02-05;703;3
509;2023-02-05;120;6
510;2023-02-05;963;5
511;2023-02-06;31;6
512;2023-02-06;591;5
513;2023-02-06;445;6
514;2023-02-06;52;6
515;2023-02-06;986;5
516;2023-02-06;732;6
517;2023-02-06;838;4
518;2023-02-06;395;4
519;2023-02-06;615;6
520;2023-02-06;411;6
521;2023-02-06;340;6
522;2023-02-06;954;3
523;2023-02-06;383;6
524;2023-02-06;552;1
525;2023-02-06;198;2
526;2023-02-07;999;1
527;2023-02-07;475;5
528;2023-02-07;385;4
529;2023-02-07;462;1
530;2023-02-07;234;3
531;2023-02-07;281;5
532;2023-02-07;266;5
533;2023-02-07;303;1
534;2023-02-07;742;6
535;2023-02-07;988;6
536;2023-02-07;289;6
537;2023-02-07;369;6
538;2023-02-07;997;5
539;2023-02-07;530;2
540;2023-02-07;203;2
541;2023-02-08;808;5
542;2023-02-08;567;4
543;2023-02-08;430;6
544;2023-02-08;787;5
545;2023-02-08;208;4
546;2023-02-08;827;2
547;2023-02-09;887;3
548;2023-02-09;69;6
549;2023-02-09;582;6
550;2023-02-09;580;6
551;2023-02-09;276;5
552;2023-02-09;739;5
553;2023-02-09;142;5
554;2023-02-09;330;2
555;2023-02-09;526;2
556;2023-02-09;617;6
557;2023-02-09;655;4
558;2023-02-10;916;5
559;2023-02-10;129;6
560;2023-02-10;466;5
561;2023-02-10;973;2
562;2023-02-10;669;3
563;2023-02-10;929;5
564;2023-02-10;133;1
565;2023-02-10;708;4
566;2023-02-11;191;4
567;2023-02-11;482;6
568;2023-02-11;400;4
569;2023-02-11;714;6
570;2023-02-11;692;1
571;2023-02-11;695;6
572;2023-02-11;161;5
573;2023-02-11;332;2
574;2023-02-11;179;3
575;2023-02-11;244;2
576;2023-02-12;910;6
577;2023-02-12;150;5
578;2023-02-12;811;1
579;2023-02-12;694;5
580;2023-02-12;246;5
581;2023-02-12;998;5
582;2023-02-12;743;5
583;2023-02-12;51;1
584;2023-02-12;638;6
585;2023-02-12;89;2
586;2023-02-12;295;6
587;2023-02-12;595;3
588;2023-02-13;661;4
589;2023-02-13;538;1
590;2023-02-13;364;3
591;2023-02-13;231;1
592;2023-02-13;901;1
593;2023-02-13;182;4
594;2023-02-13;588;4
595;2023-02-13;88;1
596;2023-02-13;762;4
597;2023-02-13;22;3
598;2023-02-13;703;2
599;2023-02-13;946;2
600;2023-02-13;296;6
601;2023-02-13;999;4
602;2023-02-14;752;3
603;2023-02-14;953;4
604;2023-02-14;83;1
605;2023-02-14;901;1
606;2023-02-14;240;5
607;2023-02-14;915;1
608;2023-02-14;99;2
609;2023-02-14;138;4
610;2023-02-14;887;2
611;2023-02-14;848;4
612;2023-02-14;980;3
613;2023-02-14;175;1
614;2023-02-14;28;2
615;2023-02-14;585;6
616;2023-02-14;533;3
617;2023-02-14;308;4
618;2023-02-15;721;3
619;2023-02-15;190;5
620;2023-02-15;467;3
621;2023-02-15;570;2
622;2023-02-15;857;6
623;2023-02-15;755;1
624;2023-02-15;426;3
625;2023-02-15;885;6
626;2023-02-15;47;5
627;2023-02-15;846;3
628;2023-02-15;422;5
629;2023-02-15;96;1
630;2023-02-15;291;6
631;2023-02-16;303;4
632;2023-02-16;598;5
633;2023-02-16;257;6
634;2023-02-16;661;3
635;2023-02-16;865;5
636;2023-02-16;440;4
637;2023-02-16;474;6
638;2023-02-16;333;6
639;2023-02-16;404;2
640;2023-02-16;986;1
641;2023-02-16;553;5
642;2023-02-16;627;2
643;2023-02-16;169;4
644;2023-02-16;759;1
645;2023-02-16;410;2
646;2023-02-16;354;6
647;2023-02-16;357;1
648;2023-02-16;695;3
649;2023-02-16;523;3
650;2023-02-16;236;6
651;2023-02-16;8;4
652;2023-02-16;939;3
653;2023-02-16;954;4
654;2023-02-17;635;6
655;2023-02-17;12;6
656;2023-02-17;895;5
657;2023-02-17;682;6
658;2023-02-17;543;3
659;2023-02-17;231;1
660;2023-02-17;651;3
661;2023-02-17;739;2
662;2023-02-17;451;3
663;2023-02-17;191;3
664;2023-02-17;287;2
665;2023-02-18;971;2
666;2023-02-18;226;1
667;2023-02-18;261;2
668;2023-02-18;94;2
669;2023-02-18;937;1
670;2023-02-18;959;3
671;2023-02-18;269;2
672;2023-02-18;960;3
673;2023-02-18;47;1
674;2023-02-18;843;2
675;2023-02-18;298;6
676;2023-02-18;719;5
677;2023-02-18;815;2
678;2023-02-18;375;6
679;2023-02-19;371;6
680;2023-02-19;444;4
681;2023-02-19;148;3
682;2023-02-19;244;3
683;2023-02-19;363;6
684;2023-02-19;255;4
685;2023-02-19;806;2
686;2023-02-19;883;6
687;2023-02-19;319;6
688;2023-02-19;847;6
689;2023-02-19;135;2
690;2023-02-19;58;2
691;2023-02-20;98;6
692;2023-02-20;244;3
693;2023-02-20;174;4
694;2023-02-20;199;3
695;2023-02-20;264;4
696;2023-02-20;422;3
697;2023-02-20;580;1
698;2023-02-20;825;6
699;2023-02-20;878;4
700;2023-02-20;348;2
701;2023-02-20;372;5
702;2023-02-20;229;5
703;2023-02-20;71;6
704;2023-02-20;729;5
705;2023-02-20;317;3
706;2023-02-20;162;6
707;2023-02-20;22;1
708;2023-02-20;977;2
709;2023-02-21;380;6
710;2023-02-21;444;5
711;2023-02-21;184;1
712;2023-02-21;836;4
713;2023-02-21;178;3
714;2023-02-21;840;3
715;2023-02-21;85;6
716;2023-02-21;672;3
717;2023-02-21;638;2
718;2023-02-21;503;3
719;2023-02-21;53;6
720;2023-02-21;200;1
721;2023-02-21;952;6
722;2023-02-21;706;6
723;2023-02-22;611;5
724;2023-02-22;417;3
725;2023-02-22;270;6
726;2023-02-22;778;4
727;2023-02-22;748;4
728;2023-02-22;291;3
729;2023-02-22;777;3
730;2023-02-22;168;2
731;2023-02-23;622;4
732;2023-02-23;195;4
733;2023-02-23;408;5
734;2023-02-23;352;4
735;2023-02-23;466;2
736;2023-02-23;696;1
737;2023-02-23;852;4
738;2023-02-23;623;6
739;2023-02-24;77;5
740;2023-02-24;17;6
741;2023-02-24;927;5
742;2023-02-24;576;4
743;2023-02-24;589;2
744;2023-02-24;143;3
745;2023-02-24;928;2
746;2023-02-24;529;5
747;2023-02-24;750;5
748;2023-02-24;15;2
749;2023-02-24;703;4
750;2023-02-24;963;1
751;2023-02-24;64;4
752;2023-02-24;76;2
753;2023-02-24;146;2
754;2023-02-24;66;4
755;2023-02-24;201;6
756;2023-02-24;694;5
757;2023-02-24;21;3
758;2023-02-24;237;5
759;2023-02-25;316;2
760;2023-02-25;865;2
761;2023-02-25;529;2
762;2023-02-25;494;6
763;2023-02-25;912;3
764;2023-02-25;652;5
765;2023-02-25;120;5
766;2023-02-25;122;5
767;2023-02-25;115;2
768;2023-02-25;97;4
769;2023-02-25;983;4
770;2023-02-25;201;2
771;2023-02-25;973;2
772;2023-02-26;991;2
773;2023-02-26;767;2
774;2023-02-26;581;6
775;2023-02-26;416;2
776;2023-02-26;686;1
777;2023-02-26;971;3
778;2023-02-26;340;3
779;2023-02-26;377;4
780;2023-02-26;344;6
781;2023-02-26;926;5
782;2023-02-26;398;4
783;2023-02-26;8;2
784;2023-02-26;719;5
785;2023-02-27;247;2
786;2023-02-27;44;6
787;2023-02-27;396;2
788;2023-02-27;606;3
789;2023-02-27;547;4
790;2023-02-27;920;6
791;2023-02-27;693;3
792;2023-02-27;11;5
793;2023-02-27;517;1
794;2023-02-27;19;6
795;2023-02-27;436;2
796;2023-02-27;124;2
797;2023-02-27;236;3
798;2023-02-28;286;6
799;2023-02-28;952;3
800;2023-02-28;689;6
801;2023-02-28;103;1
802;2023-02-28;920;4
803;2023-02-28;316;2
804;2023-02-28;547;4
805;2023-02-28;65;5
806;2023-02-28;777;4
807;2023-02-28;960;5
808;2023-02-28;927;3
809;2023-02-28;237;4
810;2023-02-28;239;3
811;2023-02-28;693;3
812;2023-02-28;21;3
813;2023-02-28;511;3
814;2023-02-28;666;2
815;2023-02-28;698;4
816;2023-02-28;781;3
817;2023-02-28;556;4
818;2023-02-28;566;1
819;2023-02-28;790;1
820;2023-03-01;459;6
821;2023-03-01;610;5
822;2023-03-01;866;3
823;2023-03-01;237;4
824;2023-03-01;291;1
825;2023-03-01;4;5
826;2023-03-01;109;4
827;2023-03-01;170;3
828;2023-03-01;798;2
829;2023-03-01;697;2
830;2023-03-01;356;3
831;2023-03-01;896;4
832;2023-03-02;673;6
833;2023-03-02;252;3
834;2023-03-02;506;4
835;2023-03-02;692;4
836;2023-03-02;84;3
837;2023-03-02;820;3
838;2023-03-02;3;3
839;2023-03-02;960;6
840;2023-03-02;28;3
841;2023-03-02;535;6
842;2023-03-02;323;5
843;2023-03-02;743;4
844;2023-03-02;892;6
845;2023-03-02;937;3
846;2023-03-03;159;5
847;2023-03-03;779;6
848;2023-03-03;560;3
849;2023-03-03;41;4
850;2023-03-03;840;4
851;2023-03-03;660;4
852;2023-03-03;3;3
853;2023-03-03;640;5
854;2023-03-03;526;5
855;2023-03-03;486;6
856;2023-03-03;727;1
857;2023-03-03;556;2
858;2023-03-03;430;5
859;2023-03-03;253;2
860;2023-03-04;529;1
861;2023-03-04;12;3
862;2023-03-04;321;3
863;2023-03-04;869;2
864;2023-03-04;880;3
865;2023-03-04;361;5
866;2023-03-04;829;5
867;2023-03-04;636;1
868;2023-03-04;603;1
869;2023-03-04;392;6
870;2023-03-04;974;5
871;2023-03-04;438;1
872;2023-03-04;98;1
873;2023-03-04;98;2
874;2023-03-04;806;1
875;2023-03-04;147;5
876;2023-03-05;262;2
877;2023-03-05;903;6
878;2023-03-05;734;6
879;2023-03-05;414;2
880;2023-03-05;740;2
881;2023-03-05;725;1
882;2023-03-05;541;1
883;2023-03-05;371;1
884;2023-03-05;216;2
885;2023-03-05;420;2
886;2023-03-05;507;2
887;2023-03-06;541;4
888;2023-03-06;411;1
889;2023-03-06;9;5
890;2023-03-06;172;6
891;2023-03-06;376;6
892;2023-03-06;637;4
893;2023-03-06;883;5
894;2023-03-06;752;4
895;2023-03-06;232;5
896;2023-03-07;512;5
897;2023-03-07;755;1
898;2023-03-07;461;2
899;2023-03-07;96;5
900;2023-03-07;137;2
901;2023-03-07;843;6
902;2023-03-07;541;6
903;2023-03-07;93;5
904;2023-03-07;479;6
905;2023-03-07;977;3
906;2023-03-08;411;3
907;2023-03-08;603;5
908;2023-03-08;727;2
909;2023-03-08;620;3
910;2023-03-08;624;3
911;2023-03-08;676;2
912;2023-03-08;712;3
913;2023-03-08;540;6
914;2023-03-08;988;6
915;2023-03-08;76;2
916;2023-03-08;891;4
917;2023-03-08;358;5
918;2023-03-08;264;2
919;2023-03-08;128;3
920;2023-03-08;454;5
921;2023-03-09;820;5
922;2023-03-09;990;4
923;2023-03-09;199;1
924;2023-03-09;844;4
925;2023-03-09;144;3
926;2023-03-09;312;1
927;2023-03-09;873;1
928;2023-03-09;34;3
929;2023-03-09;178;3
930;2023-03-10;245;4
931;2023-03-10;787;3
932;2023-03-10;180;3
933;2023-03-10;921;6
934;2023-03-10;148;6
935;2023-03-10;987;5
936;2023-03-10;225;4
937;2023-03-10;723;1
938;2023-03-10;679;6
939;2023-03-10;305;6
940;2023-03-10;186;1
941;2023-03-10;683;4
942;2023-03-10;776;3
943;2023-03-10;352;2
944;2023-03-10;416;5
945;2023-03-11;801;3
946;2023-03-11;32;1
947;2023-03-11;763;4
948;2023-03-11;565;2
949;2023-03-11;340;6
950;2023-03-11;429;4
951;2023-03-11;677;4
952;2023-03-11;474;3
953;2023-03-11;890;6
954;2023-03-11;220;2
955;2023-03-11;566;1
956;2023-03-11;428;5
957;2023-03-11;198;3
958;2023-03-11;235;6
959;2023-03-11;391;2
960;2023-03-11;791;5
961;2023-03-12;158;2
962;2023-03-12;146;1
963;2023-03-12;591;4
964;2023-03-12;345;3
965;2023-03-12;116;3
966;2023-03-12;834;5
967;2023-03-12;636;2
968;2023-03-12;475;5
969;2023-03-12;149;3
970;2023-03-12;372;5
971;2023-03-12;473;1
972;2023-03-12;821;2
973;2023-03-12;646;6
974;2023-03-12;565;4
975;2023-03-12;476;5
976;2023-03-13;565;1
977;2023-03-13;346;4
978;2023-03-13;242;3
979;2023-03-13;381;2
980;2023-03-13;835;3
981;2023-03-13;653;5
982;2023-03-13;768;6
983;2023-03-13;180;1
984;2023-03-13;32;1
985;2023-03-13;47;4
986;2023-03-13;843;3
987;2023-03-13;848;2
988;2023-03-13;564;2
989;2023-03-13;354;1
990;2023-03-13;77;5
991;2023-03-14;773;5
992;2023-03-14;269;4
993;2023-03-14;285;6
994;2023-03-14;376;3
995;2023-03-14;234;5
996;2023-03-14;363;5
997;2023-03-14;750;4
998;2023-03-14;684;2
999;2023-03-14;590;1
1000;2023-03-14;408;4
1001;2023-03-14;583;2
1002;2023-03-14;191;4
1003;2023-03-14;369;3
1004;2023-03-15;758;5
1005;2023-03-15;53;1
1006;2023-03-15;718;1
1007;2023-03-15;966;2
1008;2023-03-15;312;2
1009;2023-03-15;345;6
1010;2023-03-15;157;2
1011;2023-03-15;957;2
1012;2023-03-15;374;4
1013;2023-03-15;425;3
1014;2023-03-15;240;5
1015;2023-03-15;845;3
1016;2023-03-15;655;3
1017;2023-03-15;836;5
1018;2023-03-15;329;2
1019;2023-03-15;248;6
1020;2023-03-15;207;6
1021;2023-03-15;231;5
1022;2023-03-15;214;1
1023;2023-03-15;29;1
1024;2023-03-15;491;5
1025;2023-03-15;764;4
1026;2023-03-16;30;1
1027;2023-03-16;434;6
1028;2023-03-16;848;4
1029;2023-03-16;351;4
1030;2023-03-16;86;4
1031;2023-03-16;686;3
1032;2023-03-16;469;1
1033;2023-03-16;247;6
1034;2023-03-16;800;1
1035;2023-03-16;838;4
1036;2023-03-16;109;5
1037;2023-03-16;213;2
1038;2023-03-16;738;6
1039;2023-03-17;275;6
1040;2023-03-17;707;3
1041;2023-03-17;367;4
1042;2023-03-17;133;3
1043;2023-03-17;213;1
1044;2023-03-17;427;5
1045;2023-03-17;612;3
1046;2023-03-17;107;2
1047;2023-03-17;428;2
1048;2023-03-17;768;1
1049;2023-03-17;100;2
1050;2023-03-17;158;4
1051;2023-03-17;443;3
1052;2023-03-17;954;5
1053;2023-03-17;786;5
1054;2023-03-17;945;3
1055;2023-03-17;101;5
1056;2023-03-17;261;6
1057;2023-03-18;16;5
1058;2023-03-18;964;3
1059;2023-03-18;965;4
1060;2023-03-18;294;6
1061;2023-03-18;272;5
1062;2023-03-18;673;3
1063;2023-03-18;355;5
1064;2023-03-18;22;1
1065;2023-03-18;935;6
1066;2023-03-18;316;6
1067;2023-03-18;811;3
